cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2023-22916,2023,CWE-20,8.1,HIGH,,v3.1,P-20|P-22,true
CVE-2023-29103,2023,CWE-259,4.3,MEDIUM,,v3.1,P-20,false
CVE-2022-29841,2023,CWE-78,8.0,HIGH,,v3.1,P-20,false
CVE-2023-2512,2023,CWE-125,6.5,MEDIUM,,v3.1,P-20,false
CVE-2023-28767,2023,CWE-78,8.8,HIGH,,v3.1,P-20|P-22,true
CVE-2023-26023,2023,CWE-532,6.5,MEDIUM,,v3.1,P-20,false
CVE-2023-26026,2023,CWE-200,5.3,MEDIUM,,v3.1,P-20,false
CVE-2023-26270,2023,CWE-79,6.5,MEDIUM,,v3.1,P-20|P-22,true
CVE-2023-40180,2023,CWE-400,7.5,HIGH,,v3.1,P-20|P-21,true
CVE-2023-38735,2023,CWE-287,5.7,MEDIUM,,v3.1,P-20,false
CVE-2023-22518,2023,CWE-863,9.8,CRITICAL,,v3.1,P-20,false
CVE-2023-22522,2023,CWE-74,8.8,HIGH,,v3.1,P-20,false
CVE-2023-46741,2024,CWE-200,4.8,MEDIUM,,v3.1,P-20,false
CVE-2024-21669,2024,CWE-347,9.9,CRITICAL,,v3.1,P-20,false
CVE-2023-28901,2024,CWE-200,5.3,MEDIUM,,v3.1,P-20,false
CVE-2024-0212,2024,CWE-284,8.1,HIGH,,v3.1,P-20,false
CVE-2024-21682,2024,CWE-94,7.2,HIGH,,v3.1,P-20|P-22,true
CVE-2023-32260,2024,CWE-115,6.5,MEDIUM,,v3.1,P-20|P-22,true
CVE-2024-3383,2024,CWE-282,7.4,HIGH,,v3.1,P-20,false
CVE-2024-35181,2024,CWE-89,5.9,MEDIUM,,v3.1,P-20|P-22,true
CVE-2024-35182,2024,CWE-89,5.9,MEDIUM,,v3.1,P-20|P-22,true
CVE-2024-35189,2024,CWE-200,6.5,MEDIUM,,v3.1,P-20,false
CVE-2024-3095,2024,CWE-918,7.7,HIGH,,v3.1,P-20,false
CVE-2024-42222,2024,CWE-200,4.3,MEDIUM,,v3.1,P-20,false
CVE-2024-45043,2024,CWE-200,5.3,MEDIUM,,v3.1,P-20,false
CVE-2024-9983,2024,CWE-23,7.5,HIGH,,v3.1,P-20,false
CVE-2024-11702,2024,CWE-838,7.5,HIGH,,v3.1,P-20,false
